Meeting Date,Company,Symbol,Industry,SubIndustry,Proposal Type<br>General,Proposal Type<br>Specific,Title,Proponent Type<br>General,Proponent Type<br>Specific,Proponent,Votes For
12/10/2024,Microsoft Corp,MSFT,Financials,Real Estate Investment Trusts,Social Policy,Artificial Intelligence (AI),Report on AI Data Sourcing Accountability,Social,Public Policy Interest Groups,National Legal and Policy Center,0.00
12/10/2024,Microsoft Corp,MSFT,Materials,Specialty Chemicals,Social Policy,Artificial Intelligence (AI),Report on AI Misinformation and Disinformation,Social,Socially Responsible Investing Funds,Arjuna Capital,0.00
12/10/2024,Microsoft Corp,MSFT,Consumer Staples,Electric Utilities,Social Policy,Artificial Intelligence (AI),Report on AI & Machine Learning Tools for Oil & Gas Development & Production,Social,Socially Responsible Investing Funds,As You Sow,0.00
12/10/2024,Microsoft Corp,MSFT,Industrials,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Human Rights,Data Operations in Human Rights Hotspots,Individual,Individual,Olga Bell Greenbaum D’Angelo ,0.00
12/10/2024,Microsoft Corp,MSFT,Energy,Banks,Corporate Governance,Alternatives to Maximize Shareholder Value,Assessment of Investing in Bitcoin,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.00
12/10/2024,Microsoft Corp,MSFT,Health Care,Food Beverage and Tobacco,Social Policy,Reputational Risk,Report on Risks of Weapons Development,Social,Socially Responsible Investing Funds,"Harrington Investments, Inc.",0.00
12/10/2024,Microsoft Corp,MSFT,Financials,Retailing,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.00
12/9/2024,"Cisco Systems, Inc.",CSCO,Financials,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.00
11/22/2024,"Avnet, Inc",AVT,Consumer Staples,Electric Utilities,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.00
11/20/2024,Western Digital Corp,WDC,Health Care,Food Beverage and Tobacco,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.00
11/19/2024,Fox Corp,FOX,Consumer Staples,"Pharmaceuticals, Biotechnology and Life Sciences",Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.00
