Meeting_Date,Company,Symbol,Industry,SubIndustry,Proposal_Type_General,Proposal_Type_Specific,Title,Proponent_Type_General,Proponent Type_Specific,Proponent,Votes_For
12/10/2024,Microsoft Corp,MSFT,Real Estate,Specialty Chemicals,Social Policy,Artificial Intelligence (AI),Report on AI Data Sourcing Accountability,Social,Public Policy Interest Groups,National Legal and Policy Center,0.00
12/10/2024,Microsoft Corp,MSFT,Health Care,Specialty Chemicals,Social Policy,Artificial Intelligence (AI),Report on AI Misinformation and Disinformation,Social,Socially Responsible Investing Funds,Arjuna Capital,0.00
12/10/2024,Microsoft Corp,MSFT,Utilities,Banks,Social Policy,Artificial Intelligence (AI),Report on AI & Machine Learning Tools for Oil & Gas Development & Production,Social,Socially Responsible Investing Funds,As You Sow,0.00
12/10/2024,Microsoft Corp,MSFT,Materials,Banks,Social Policy,Human Rights,Data Operations in Human Rights Hotspots,Individual,Individual,Olga Bell Greenbaum D’Angelo ,0.00
12/10/2024,Microsoft Corp,MSFT,Utilities,Media and Entertainment,Corporate Governance,Alternatives to Maximize Shareholder Value,Assessment of Investing in Bitcoin,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.00
12/10/2024,Microsoft Corp,MSFT,Industrials,Integrated Oil and Gas,Social Policy,Reputational Risk,Report on Risks of Weapons Development,Social,Socially Responsible Investing Funds,"Harrington Investments, Inc.",0.00
12/10/2024,Microsoft Corp,MSFT,Consumer Discretionary,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.00
12/9/2024,"Cisco Systems, Inc.",CSCO,Consumer Staples,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.00
11/22/2024,"Avnet, Inc",AVT,Consumer Staples,Food Beverage and Tobacco,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.00
11/20/2024,Western Digital Corp,WDC,Consumer Discretionary,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.00
11/19/2024,Fox Corp,FOX,Industrials,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.00
11/15/2024,Sysco Corp,SYY,Consumer Discretionary,Banks,Social Policy,Animal Rights,Establish Measurable Targets for Group Sow Housing for its Pork Products,Social,Socially Responsible Investing Funds,The Accountability Board,0.00
11/15/2024,Sysco Corp,SYY,Information Technology,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.00
11/14/2024,Oracle Corp,ORCL,Consumer Discretionary,Food Beverage and Tobacco,Social Policy,Climate Risk,Retirement Plan Climate Risk Report,Social,Socially Responsible Investing Funds,As You Sow,0.00
11/14/2024,Oracle Corp,ORCL,Consumer Staples,Retailing,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.00
11/6/2024,"Automatic Data Processing, Inc.",ADP,Energy,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.90
11/6/2024,"Cardinal Health, Inc.",,Consumer Staples,"Pharmaceuticals, Biotechnology and Life Sciences",Voting Rules,Majority Voting for Directors,Prohibit the Re-nomination of Any Director Who Fails to Receive a Majority Vote,Individual,Individual,John Chevedden,0.19
11/6/2024,"Cardinal Health, Inc.",,Utilities,Food Beverage and Tobacco,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.90
10/23/2024,Parker-Hannifin Corp,,Information Technology,Food Beverage and Tobacco,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.88
10/17/2024,Medtronic plc,,Health Care,Food Beverage and Tobacco,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
10/8/2024,Procter & Gamble Co,PG,Financials,Retailing,Social Policy,Gender/Racial Equality,Racial and Gender Pay Gaps,Social,Socially Responsible Investing Funds,Arjuna Capital,0.30
10/8/2024,Procter & Gamble Co,PG,Financials,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.91
9/24/2024,"General Mills, Inc.",GIS,Industrials,Retailing,Social Policy,Environmental,Plastic Packaging,Social,Socially Responsible Investing Funds,Green Century Capital Management,0.40
9/24/2024,"General Mills, Inc.",GIS,Financials,Media and Entertainment,Social Policy,Supply Chain Risks,Disclosure of Regenerative Agriculture Practices Within Supply Chain,Social,Socially Responsible Investing Funds,As You Sow,0.28
9/24/2024,"General Mills, Inc.",GIS,Information Technology,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
9/23/2024,FedEx Corp,,Consumer Discretionary,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Climate Risk,Climate Lobbying Alignment with Company’s Carbon Neutral Goals,Social,Religious Institutions,United Church Funds,0.20
9/23/2024,FedEx Corp,,Utilities,Electric Utilities,Corporate Governance,Require Shareholder Vote on Bylaws,Shareholder Input on Bylaw Amendments,Individual,Individual,John Chevedden,0.02
9/23/2024,FedEx Corp,,Health Care,Capital Goods,Social Policy,Environmental,“Just Transition” Report,Labor,General Private Labor Union Pension Funds,Int'l Brotherhood of Teamsters,0.22
